MsgID, DataID0, DataID1, DataID2, DataID3, DataID4, DataID5, DataID6, DataID7, DataID8, DataID9, DataID10, DataID11, DataID12, DataID13, DataID14, DataID15
18C, 0xF, 0xD1, 0x6B, 0x63, 0x9E, 0x74, 0x22, 0x94, 0xD7, 0xA1, 0xE7, 0x6F, 0x9C, 0xCF, 0x96, 0xDD
227, 0x66, 0xF4, 0xA8, 0xC8, 0xBB, 0xA7, 0xAF, 0x2B, 0xD9, 0x7B, 0xC0, 0x50, 0x56, 0xF, 0xCE, 0xED
3CE, 0x6C, 0x14, 0x3C, 0xAD, 0x93, 0x59, 0x1C, 0x4D, 0xD8, 0x33, 0x5D, 0x89, 0x7B, 0x8, 0x70, 0x34
FA, 0x96, 0x97, 0x8B, 0x2, 0x69, 0xBB, 0x54, 0xE6, 0x4E, 0x46, 0x8D, 0x7B, 0xEA, 0x87, 0xE9, 0xB3
FD, 0x53, 0x58, 0x37, 0xDA, 0x94, 0x57, 0x79, 0x27, 0x8D, 0xDD, 0xD0, 0x39, 0x16, 0x84, 0x7, 0xAF
25A, 0x64, 0x5D, 0x7D, 0x96, 0x3D, 0x82, 0xB9, 0x97, 0xD5, 0xB6, 0xAA, 0x8B, 0x5A, 0x24, 0xB4, 0x2
B1, 0x49, 0x56, 0xE, 0x67, 0x81, 0x1E, 0x76, 0x9F, 0xBF, 0xC1, 0xE5, 0x6C, 0x96, 0x83, 0x7F, 0xC2
B2, 0x9C, 0xD6, 0x1C, 0xBA, 0xB8, 0x8, 0xAB, 0xAA, 0x49, 0xDF, 0x1B, 0x8C, 0x6D, 0x6E, 0xEA, 0x20
B6, 0x71, 0xD, 0xB, 0xC2, 0x8, 0xC6, 0x63, 0x4B, 0x3F, 0x2B, 0x6, 0x10, 0xF0, 0xD2, 0x87, 0xD
B7, 0xEB, 0x4E, 0xAE, 0xCE, 0x79, 0x7C, 0x52, 0x3, 0x6A, 0x84, 0xC2, 0x3A, 0xA, 0x64, 0x2F, 0x17
2C0, 0xA3, 0x4F, 0xD2, 0xB1, 0x60, 0x6A, 0x36, 0xF5, 0x4A, 0xAF, 0xED, 0xB0, 0x57, 0xF6, 0x9F, 0xAD
